Sample_ID,Buffer_Zone(m),Soil_pH,Bulk_Density_g_mL,Porosity_pct,Total_Organic_Matter_pct,Total_Organic_Carbon_pct,Nitrogen_pct,Phosphorus_mg_kg,Sulphur_pct,Magnesium_ppm,Potassium_ppm,Calcium_ppm,Molybdenum_ppm
GULLY-S020,Brink (0m),5.04,1.64,38.3,0.57,0.28,0.034,4.2,0.004,79,41.5,439.9,0.181
GULLY-S021,Proximal (5m),5.17,1.47,42.9,1.51,0.89,0.102,8.9,0.016,97,97.3,545.8,0.284
GULLY-S022,Proximal (5m),5.4,1.43,46.3,2.01,1.2,0.105,12.8,0.026,118.8,65.1,867,0.159
GULLY-S023,Proximal (5m),5.36,1.5,43.5,1.69,0.99,0.086,14.6,0.021,84.6,90.8,702.7,0.27
GULLY-S024,Proximal (5m),5.56,1.43,45.8,2.37,1.34,0.123,15.7,0.025,103.2,77.6,655.4,0.281
GULLY-S025,Proximal (5m),5.61,1.52,43.3,2.07,1.16,0.11,12.2,0.023,103.9,70.2,863.3,0.197
GULLY-S026,Proximal (5m),5.1,1.53,42.7,2.32,1.31,0.11,12.7,0.024,109.6,78.2,600.7,0.225
GULLY-S027,Proximal (5m),5.5,1.45,44.9,2.11,1.21,0.108,13.1,0.02,73.9,71.4,655.8,0.25
GULLY-S028,Proximal (5m),5.77,1.52,42.6,1.88,1.15,0.102,13.3,0.021,102.8,98.4,665.2,0.254
GULLY-S029,Proximal (5m),5.57,1.45,45.4,1.99,1.15,0.109,13.7,0.027,109.4,105.8,605.9,0.272
GULLY-S030,Proximal (5m),5.45,1.58,40,1.56,0.94,0.089,10.6,0.019,100.1,102.5,760.5,0.214
GULLY-S031,Proximal (5m),5.18,1.5,42.7,2.89,1.61,0.132,15.9,0.032,113.6,60.9,621.1,0.238
GULLY-S032,Proximal (5m),5.41,1.45,45.6,1.5,0.88,0.085,14.3,0.014,72,95.3,704.9,0.208
GULLY-S033,Proximal (5m),5.79,1.48,44.7,2.22,1.17,0.096,14.9,0.025,115.5,68.4,736.7,0.28
GULLY-S034,Proximal (5m),4.96,1.42,45.4,1.93,1.08,0.093,16.6,0.017,69.4,79.3,709.6,0.236
GULLY-S035,Proximal (5m),4.88,1.47,43.9,2.31,1.32,0.12,9.9,0.026,109.3,68.2,720.4,0.216
GULLY-S036,Proximal (5m),5.2,1.47,44,1.62,1.01,0.085,10.8,0.021,93.3,77.3,730.3,0.268
GULLY-S037,Proximal (5m),5.27,1.45,45.1,0.83,0.57,0.065,11.9,0.013,99.7,116.9,775.8,0.232
GULLY-S038,Proximal (5m),5.16,1.39,47.6,1.51,0.96,0.079,16.7,0.022,94.9,97.8,682,0.203
GULLY-S039,Proximal (5m),5.78,1.5,42.9,1.81,1.1,0.116,17.3,0.018,103.4,72.2,631.2,0.214
GULLY-S040,Proximal (5m),5.18,1.48,43.7,2.1,1.22,0.103,11.1,0.027,102.5,68.3,683.9,0.268
GULLY-S041,Transition (10m),5.18,1.43,45.7,3.1,1.84,0.166,17.1,0.038,116.4,117.7,800.5,0.322
GULLY-S042,Transition (10m),5.3,1.37,48.3,2.51,1.48,0.123,19.1,0.026,137.9,127.3,727.6,0.293
GULLY-S043,Transition (10m),5.74,1.39,47.7,2.68,1.55,0.154,17.6,0.032,123.8,104.1,911.1,0.341
GULLY-S044,Transition (10m),5.49,1.41,47.8,3.28,1.92,0.161,11.9,0.035,101.9,105.8,951.7,0.392
GULLY-S045,Transition (10m),5.68,1.39,48,2.01,1.15,0.086,19.9,0.024,123.8,117.6,1154.4,0.332
GULLY-S046,Transition (10m),5.66,1.38,47.5,3.21,1.91,0.168,18.2,0.039,145.6,103.9,925.7,0.286
GULLY-S047,Transition (10m),5.49,1.42,46.8,2.62,1.47,0.13,21.7,0.027,111.3,88.7,1084.6,0.351
GULLY-S048,Transition (10m),5.59,1.41,46.2,4,2.31,0.216,18.2,0.047,118.1,115.7,1119.4,0.379
GULLY-S049,Transition (10m),6,1.37,47.8,2.88,1.67,0.128,20.8,0.033,123.6,97.9,801.1,0.358
GULLY-S050,Transition (10m),5.62,1.34,48.8,2.96,1.62,0.134,16.4,0.032,89.5,109.3,929.2,0.353
GULLY-S051,Transition (10m),6.06,1.46,44.8,2.71,1.42,0.129,16.9,0.029,127.8,103.1,900.8,0.324
GULLY-S052,Transition (10m),5.46,1.36,48.7,2.98,1.64,0.18,20.1,0.027,124.9,105.5,823.3,0.294
GULLY-S053,Transition (10m),5.32,1.49,44.2,3.55,2.02,0.188,18.2,0.037,140.7,107.1,916.3,0.353
GULLY-S054,Transition (10m),5.71,1.38,48.5,2.53,1.43,0.123,17.8,0.025,143.9,107.8,903,0.367
GULLY-S055,Transition (10m),5.42,1.33,49,3.06,1.85,0.135,21.2,0.038,128.5,103.5,985.9,0.323
GULLY-S056,Transition (10m),5.88,1.41,46.9,2.77,1.61,0.127,13.6,0.034,132.6,107.8,951.7,0.339
GULLY-S057,Transition (10m),5.47,1.36,48.8,2.56,1.46,0.154,18.2,0.03,144.7,130,1041.3,0.251
GULLY-S058,Transition (10m),5.28,1.37,48.3,3.08,1.83,0.157,15.5,0.032,116.2,93.8,862.2,0.367
GULLY-S059,Transition (10m),5.36,1.53,42.5,2.93,1.75,0.148,17.3,0.043,128.6,123.8,886.7,0.324
GULLY-S060,Transition (10m),6.04,1.37,49.2,3.18,1.88,0.176,18.6,0.033,119.1,107,943.3,0.35
GULLY-S061,Distal (20m),5.84,1.26,52.6,4.19,2.4,0.216,22.6,0.048,140.1,145.2,1243.7,0.423
GULLY-S062,Distal (20m),5.48,1.27,52.6,3.93,2.24,0.204,23.8,0.043,166.4,134.5,1185.9,0.4
GULLY-S063,Distal (20m),5.86,1.3,51.6,3.48,2.03,0.203,22,0.044,142.7,143.2,1305.1,0.416
GULLY-S064,Distal (20m),6.07,1.3,51.6,4.83,2.82,0.276,25.4,0.055,158.7,136.6,1104,0.376
GULLY-S065,Distal (20m),5.55,1.29,51.3,4.14,2.31,0.23,21,0.046,175.1,126.5,1259.4,0.419
GULLY-S066,Distal (20m),5.92,1.34,50.7,3.55,2.09,0.19,19.9,0.045,186.3,133.2,1150.1,0.431
GULLY-S067,Distal (20m),5.66,1.36,48.8,3.38,1.87,0.151,20.5,0.038,170,147.9,1405.9,0.405
GULLY-S068,Distal (20m),5.6,1.26,52.1,4.04,2.24,0.211,21.5,0.048,202.9,133.6,1181,0.454
GULLY-S069,Distal (20m),5.97,1.42,46.7,3.78,2.16,0.195,22.8,0.046,182.5,156.6,1283.4,0.406
GULLY-S070,Distal (20m),5.84,1.39,47.1,3.99,2.34,0.225,22,0.047,144.6,149,1283.1,0.499
GULLY-S071,Distal (20m),5.72,1.34,49.6,4.54,2.64,0.243,22,0.051,167.9,152.9,1132.6,0.418
GULLY-S072,Distal (20m),5.62,1.38,47.2,3.68,2.11,0.178,20.1,0.048,143.3,113.6,1264.6,0.392
GULLY-S073,Distal (20m),5.54,1.36,48.8,3.51,2.11,0.191,21.3,0.048,148.9,121.7,1162.7,0.411
GULLY-S074,Distal (20m),5.86,1.31,50.7,3.49,1.94,0.188,22.4,0.04,173.5,145.4,1282.8,0.466
GULLY-S075,Distal (20m),5.85,1.36,48.6,4.43,2.61,0.219,17.9,0.053,154.8,150.1,1166.3,0.395
GULLY-S076,Distal (20m),5.33,1.3,49.7,3.27,1.85,0.167,19.1,0.037,164.9,126.1,1360.3,0.448
GULLY-S077,Distal (20m),5.74,1.33,49.9,2.98,1.74,0.153,20.8,0.04,174.6,133.1,1276.5,0.468
GULLY-S078,Distal (20m),6.03,1.33,49.5,4.21,2.42,0.218,24.1,0.047,184.8,142.4,1411.8,0.385
GULLY-S079,Distal (20m),6.23,1.33,49.5,3.64,2.13,0.195,20.1,0.043,197.1,160.7,1264.3,0.414
GULLY-S080,Distal (20m),5.83,1.36,48.2,3.61,2.19,0.202,20.3,0.049,146.6,122.4,1245.2,0.454
GULLY-S081,Control (50m+),6.42,1.23,54.1,4.79,2.79,0.25,22.1,0.06,220.7,162.5,1535.6,0.52
GULLY-S082,Control (50m+),6.07,1.22,53.6,4.93,2.79,0.244,27.9,0.047,217.2,149.1,1467.4,0.455
GULLY-S083,Control (50m+),5.68,1.31,50.3,4.98,2.89,0.258,22.8,0.061,192.6,151.3,1461.5,0.56
GULLY-S084,Control (50m+),6.21,1.23,53.4,4.9,2.72,0.247,28.6,0.055,196.1,167.6,1493.6,0.499
GULLY-S085,Control (50m+),6.18,1.25,53.2,4.8,2.78,0.287,26.9,0.059,156.6,195.1,1487.4,0.544
GULLY-S086,Control (50m+),5.74,1.28,51.2,4.74,2.64,0.244,28.2,0.054,202.3,174.4,1716.3,0.498
GULLY-S087,Control (50m+),6.05,1.3,51.5,5.41,3.1,0.314,23.1,0.063,188.7,169.2,1529.6,0.513
GULLY-S088,Control (50m+),6.11,1.33,50,4.82,2.74,0.224,27.5,0.057,195.5,186.5,1486.5,0.505
GULLY-S089,Control (50m+),5.96,1.25,52.3,4.37,2.44,0.221,20.6,0.047,180.2,189.7,1590.9,0.472
GULLY-S090,Control (50m+),6.56,1.3,50.8,3.99,2.18,0.195,28.6,0.051,220.8,176.8,1553.5,0.534
GULLY-S091,Control (50m+),6.19,1.26,52.5,4.72,2.78,0.239,25.8,0.053,183.4,172.2,1625.3,0.537
GULLY-S092,Control (50m+),5.61,1.2,55.2,4.37,2.55,0.216,26.3,0.047,191,173.8,1356.6,0.518
GULLY-S093,Control (50m+),6,1.28,51.8,5.43,3.14,0.292,27.4,0.063,200.6,161.6,1440.3,0.444
GULLY-S094,Control (50m+),6.44,1.19,54.7,4.61,2.62,0.254,24.3,0.053,187.5,195.7,1393.1,0.512
GULLY-S095,Control (50m+),6.16,1.27,52,4.78,2.77,0.263,31.5,0.054,179.5,168.9,1732.2,0.468
GULLY-S096,Control (50m+),6.41,1.33,49.5,5.23,2.94,0.27,24.5,0.056,190.3,155.3,1503.1,0.469
GULLY-S097,Control (50m+),6.06,1.17,56,4.99,3.01,0.281,23,0.065,206.3,161.5,1495,0.522
GULLY-S098,Control (50m+),6.02,1.28,51.2,4.75,2.84,0.25,24.2,0.061,216.4,177.3,1401.7,0.487
GULLY-S099,Control (50m+),6.3,1.26,53.6,5.02,2.9,0.269,25.6,0.06,214.4,160.6,1380.2,0.427
GULLY-S100,Control (50m+),6.13,1.19,54,5.25,2.9,0.272,26.2,0.058,213.8,166.5,1524.1,0.513
